"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-001-01","FE: Implement Core Calculation Engine with Order of Operations","Integrate a math expression parser library (e.g., math.js) to handle evaluation of strings. Ensure the parser is configured to correctly follow PEMDAS/BODMAS rules for +, -, ×, ÷ operators.","Task","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-11-22","6","3","frontend,core,parser","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","Core Calculator Functionality","EPIC-CORE-CALC","Calculator SPA","US-001","","TypeScript,Math Expression Parsing","Medium","Low","The expression '5+3*2' evaluates to 11. The expression '8/0' is caught and throws a specific 'DivisionByZeroError'. The parser handles decimal and negative numbers correctly.","Code reviewed; Unit tests passing with >90% coverage; Integration tests passing; Documentation updated","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","","","Unit, Integration","Core logic, must be thoroughly tested before merging.","Establishes the core, non-negotiable functionality of the calculator."
"TASK-001-02","FE: Develop Calculator UI Components (Display & Keypad)","Create the main React components for the calculator's primary display (for input/result) and the keypad containing numbers (0-9) and basic operators (+, -, ×, ÷, =).","Task","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-11-22","8.5","3","frontend,react,ui","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","Core Calculator Functionality","EPIC-CORE-CALC","Calculator SPA","US-001","TASK-001-01","React,TypeScript,Material-UI,Styled-components","Medium","Low","Components are rendered correctly based on the application's theme. Clicking a button updates the calculator's state. The UI is fully responsive on mobile and desktop viewports.","Code reviewed; Component tests passing; UI matches design mockups; A11y checks passed","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","","","Component, E2E","Foundation UI, must be responsive.","Establishes the core, non-negotiable functionality of the calculator."
"TASK-052-01","Infra: Define and Provision AWS Cognito User Pool via Terraform","Create the Terraform configuration for the AWS Cognito User Pool and App Client. Configure the password policy to require 12 characters, mixed case, number, and special character.","Task","Sprint Backlog","Critical","devops.eng1@company.com","product.owner@company.com","2024-11-22","6.3","5","devops,terraform,aws,cognito","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-052","","Terraform,AWS Cognito","Medium","Medium","`terraform apply` successfully creates the User Pool. The password policy in the AWS Console matches the requirements. The App Client is configured for a public SPA with no client secret.","Terraform code peer reviewed and merged; Resources successfully provisioned in dev environment.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","Backend Team","","Infrastructure verification","Critical path for all authentication features.","Enables user-specific data persistence, which is foundational for user retention."
"TASK-052-02","FE: Create Registration View Component","Develop the React component for the user registration form, including fields for email, password, and confirm password. Implement client-side validation for required fields, email format, and password match.","Task","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-11-22","8.3","5","frontend,react,ui,auth","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-052","","React,TypeScript,Material-UI","Medium","Low","The form renders with all required fields. Client-side validation errors appear for invalid email, mismatched passwords, and empty fields. The 'Register' button is disabled until the form is valid.","Code reviewed; Component tests passing; UI matches design mockups; A11y checks passed.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","","","Component, E2E","Can be developed in parallel with backend/infra work.","Enables user-specific data persistence, which is foundational for user retention."
"TASK-052-03","FE: Implement Cognito Registration Logic","Integrate the AWS Cognito SDK (e.g., via AWS Amplify) to handle the user registration process. On form submission, call the Cognito API to create a new user.","Task","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-11-22","8.8","5","frontend,auth,aws,cognito","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-052","TASK-052-01,TASK-052-02","React,TypeScript,AWS Cognito SDK","High","Medium","Submitting a valid form successfully creates a user in the Cognito User Pool. API errors from Cognito (e.g., 'email already exists') are caught and displayed to the user. On success, the user is automatically logged in and redirected.","Code reviewed; Integration tests passing; E2E tests passing.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","DevOps Team","AWS Cognito","Integration, E2E","Depends on both the UI and the backend infrastructure.","Enables user-specific data persistence, which is foundational for user retention."
"TASK-053-01","BE: Implement JWT Authentication Strategy and Guard","Create a NestJS Passport strategy using `passport-jwt` to validate JWTs issued by AWS Cognito. Create a global `AuthGuard` to protect endpoints.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-22","10.7","5","backend,nestjs,auth,jwt,security","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-053","TASK-052-01","NestJS,Passport.js,JWT,TypeScript,AWS Cognito","High","High","The strategy correctly validates a valid JWT. The strategy rejects expired, invalid, or incorrectly signed tokens. A protected route returns 401 Unauthorized for invalid tokens and 200 OK for valid tokens.","Code reviewed against security checklist; Integration tests passing with >90% coverage.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","DevOps Team","AWS Cognito","Integration, Security","Backend foundation for securing all user-specific APIs.","Serves as the gateway to all personalized and persisted features."
"TASK-053-02","FE: Implement Login View and OAuth PKCE Flow","Develop the LoginView component and the client-side logic for the OAuth 2.0 Authorization Code flow with PKCE. This includes redirecting to the Cognito Hosted UI and exchanging the authorization code for JWTs.","Task","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-11-22","12.3","5","frontend,auth,oauth,security","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-053","TASK-052-01","React,TypeScript,OAuth 2.0,PKCE,AWS Cognito SDK","High","High","User is correctly redirected to the Cognito Hosted UI to log in. After successful login, the client receives an authorization code. The client successfully exchanges the code for tokens. Tokens are stored securely in memory.","Code reviewed; E2E test passing; Security review of token handling complete.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","DevOps Team","AWS Cognito","E2E, Security","Core authentication mechanism for the frontend.","Serves as the gateway to all personalized and persisted features."
"TASK-007-01","FE: Implement Angle Mode State and UI Controls","Create a Redux slice to manage the calculator's angle mode state (DEG, RAD, GRAD). Add a UI control to the calculator keypad that dispatches actions to change this state.","Task","Sprint Backlog","High","frontend.dev1@company.com","product.owner@company.com","2024-11-22","3.2","2","frontend,react,redux,ui","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","Core Calculator Functionality","EPIC-CORE-CALC","Calculator SPA","US-007","TASK-001-02","React,Redux Toolkit","Low","Low","A Redux slice for calculator settings is created with an `angleMode` property. The UI control correctly displays and updates the current mode. The default mode is 'DEG'.","Code reviewed; Unit tests passing; UI interaction verified.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","","","Unit, Component","Adds a new control to the existing keypad.","Provides fundamental functionality required for a scientific calculator."
"TASK-007-02","FE: Update Calculation Engine to Respect Angle Mode","Modify the core calculation engine to read the current angle mode from the state before evaluating trigonometric functions. Implement the necessary angle conversions.","Task","Sprint Backlog","High","frontend.dev1@company.com","product.owner@company.com","2024-11-22","4","2","frontend,core,parser","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","Core Calculator Functionality","EPIC-CORE-CALC","Calculator SPA","US-007","TASK-001-01,TASK-007-01","TypeScript,Trigonometry","Medium","Low","sin(90) evaluates to 1 in 'DEG' mode. sin(pi/2) evaluates to 1 in 'RAD' mode. sin(100) evaluates to 1 in 'GRAD' mode.","Code reviewed; Unit tests passing with >90% coverage for trig functions.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","","","Unit","Requires both the engine and the state to be in place.","Provides fundamental functionality required for a scientific calculator."
"TASK-052-04","Test: E2E Test for Registration Flow","Create a Cypress E2E test that covers the user registration flow, including the happy path and key failure scenarios (email exists, weak password).","Task","Sprint Backlog","Critical","qa.eng1@company.com","product.owner@company.com","2024-11-22","6","5","qa,e2e,cypress,auth","Sprint 1","Establish core calculator functionality and the complete user authentication lifecycle.","User Account Management","EPIC-AUTH","Calculator SPA","US-052","TASK-052-03","Cypress,TypeScript","Medium","Low","The test successfully registers a new, unique user. The test asserts that registration fails when using an existing email. The test runs successfully in the CI pipeline.","Test code reviewed and merged; Test passes in CI.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","Frontend Team","","E2E","Validates the completed registration feature.","Ensures the registration process is reliable and bug-free."
