"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","Core Calculator Functionality","Perform basic arithmetic operations","General User","As a General User, I want to perform addition, subtraction, multiplication, and division using a clear interface, so that I can accurately and efficiently solve basic mathematical problems.","Establishes the core, non-negotiable functionality of the calculator, serving as the foundation for all other features and providing the primary value proposition to the user.","Must Have","3","[]","[{""scenario"":""Correct Order of Operations"",""given"":""The user has entered the expression '5+3×2'"",""when"":""The user triggers the calculation"",""then"":""The result '11' is displayed, correctly performing multiplication before addition.""},{""scenario"":""Division by Zero"",""given"":""The user has entered the expression '8÷0'"",""when"":""The user triggers the calculation"",""then"":""A clear, non-destructive error message 'Cannot divide by zero' is displayed, and the original input '8÷0' is preserved.""}]","[""WI-060: Develop Core Scientific Calculator UI and Logic (subset for basic arithmetic)""]","[""All basic arithmetic operations (+, -, ×, ÷) are functional and follow order of operations."",""Unit tests for the calculation logic achieve >90% coverage."",""Component passes WCAG 2.1 AA accessibility audit."",""Code has been peer-reviewed and merged.""]"
"US-052","User Account Management","Register for a new user account","Prospective User","As a prospective user, I want to create a secure personal account using my email and a strong password, so that I can save my calculation history, custom variables, and user-created modes.","Enables user-specific data persistence, which is foundational for user retention and engagement with advanced features.","Must Have","5","[""US-069""]","[{""scenario"":""Successful registration with valid credentials"",""given"":""I am an unauthenticated user on the registration page"",""when"":""I enter a valid, unique email, a password that meets the security policy, confirm the password, accept the ToS, and click 'Register'"",""then"":""My account is created, I am automatically logged in, and I am redirected to the main calculator view.""},{""scenario"":""Registration attempt with an existing email"",""given"":""I am on the registration page"",""when"":""I enter an email address that already exists in the system and submit the form"",""then"":""The submission is rejected, and an error message 'This email address is already in use.' is displayed.""},{""scenario"":""Registration attempt with a weak password"",""given"":""I am on the registration page"",""when"":""I enter a password that does not meet the system's security policy (12 chars, mixed case, number, special)"",""then"":""The submission is rejected, and an informative error message detailing the password requirements is displayed.""}]","[""WI-007: Create Terraform Module for AWS Cognito User Pool"",""WI-066: Implement Authentication Views and Logic (Register)""]","[""User can successfully register and is logged into the application."",""AWS Cognito infrastructure is defined in Terraform."",""E2E tests for registration success and failure scenarios are passing."",""Registration form is fully accessible (WCAG 2.1 AA).""]"
"US-053","User Account Management","Log in to an existing user account","Returning User","As a returning user with an existing account, I want to securely log in using my email and password, so that I can access my saved calculation history, variables, and custom modes.","Serves as the gateway to all personalized and persisted features, which is critical for user retention and engagement.","Must Have","5","[""US-052""]","[{""scenario"":""Successful login with valid credentials"",""given"":""A registered user is on the login page"",""when"":""The user enters their correct email and password and clicks 'Log In'"",""then"":""The user is authenticated, a secure session is established, and the user's persisted data is fetched and loaded.""},{""scenario"":""Login attempt with incorrect password"",""given"":""A registered user is on the login page"",""when"":""The user enters their correct email but an incorrect password"",""then"":""A clear, non-specific error message 'Invalid email or password' is displayed.""}]","[""WI-024: Implement JWT Authentication Strategy and Guard"",""WI-066: Implement Authentication Views and Logic (Login)""]","[""User can successfully log in and their data is loaded."",""OAuth 2.0 PKCE flow is correctly implemented."",""E2E test for the happy path login flow is passing."",""Login form is fully accessible (WCAG 2.1 AA).""]"
"US-012","User Data Persistence","View and persist a history of previous calculations","Registered User","As a registered user, I want to see a scrollable list of my recent calculations, and have this history saved to my account so I can access it from any device.","Improves usability by allowing users to reference past work. Persistent history is a key feature that encourages account creation and increases user retention.","Must Have","5","[""US-001"",""US-053""]","[{""scenario"":""Registered user's history is loaded upon login"",""given"":""A registered user with a pre-existing calculation history is logged out"",""when"":""The user successfully logs in to their account"",""then"":""The history panel is populated with the user's calculation history fetched from the backend.""},{""scenario"":""Registered user's new calculation is persisted"",""given"":""A registered user is logged in"",""when"":""The user performs a new calculation"",""then"":""The new calculation appears in the UI's history panel, and an API call is made to save the history item to the backend.""}]","[""WI-031: Implement API Endpoints for Calculation History"",""WI-061: Implement Calculation History Panel""]","[""Frontend displays history fetched from backend upon login."",""New calculations are successfully persisted via API calls."",""Backend endpoints for history are secure and unit tested to >85% coverage."",""E2E test for history persistence is passing.""]"
"US-020","User Data Persistence","Define and persist a custom user variable","Registered User","As a registered user, I want to assign the result of a calculation to a named variable, so that I can easily store and reuse important values in future calculations.","Increases user efficiency and reduces errors by allowing persistence of common values, creating a personalized calculation environment.","Must Have","5","[""US-053""]","[{""scenario"":""Successfully define a new variable from an expression"",""given"":""I am a logged-in user"",""when"":""I type the expression 'area = 10 * pi' and execute the calculation"",""then"":""The main display shows the result '31.4159...', and a new variable named 'area' is persisted to my user account.""},{""scenario"":""Attempt to define a variable with an invalid name"",""given"":""I am a logged-in user"",""when"":""I type the expression 'my-var = 50'"",""then"":""The system displays a clear error message 'Invalid variable name. Names can only contain letters, numbers, and underscores.'""}]","[""WI-032: Implement API Endpoints for User Variables"",""WI-062: Implement User-Defined Variables Feature""]","[""User can define, persist, and use variables in calculations."",""Backend endpoints for variables are secure and unit tested to >85% coverage."",""Frontend parsing logic for assignments is implemented and tested."",""E2E test for variable creation and usage is passing.""]"
"US-007","Core Calculator Functionality","Switch calculator angle mode for trigonometric calculations","Scientific User","As a user, I want to switch the angle mode between Degrees, Radians, and Gradians to ensure my trigonometric calculations are correct for my specific problem.","Provides fundamental functionality required for a scientific calculator, ensuring the accuracy and reliability of trigonometric operations.","Must Have","2","[""US-002""]","[{""scenario"":""Trigonometric calculations respect 'Degrees' mode"",""given"":""The calculator angle mode is set to 'Degrees' (DEG)"",""when"":""The user enters the expression 'sin(90)' and executes the calculation"",""then"":""The displayed result is exactly '1'.""},{""scenario"":""Trigonometric calculations respect 'Radians' mode"",""given"":""The calculator angle mode is set to 'Radians' (RAD)"",""when"":""The user enters the expression 'sin(pi/2)' and executes the calculation"",""then"":""The displayed result is exactly '1'.""}]","[""WI-060: Develop Core Scientific Calculator UI and Logic (subset for angle modes)""]","[""User can cycle between DEG, RAD, GRAD modes."",""UI indicator correctly displays the active mode."",""Trigonometric calculations produce correct results for all three modes."",""Component is fully accessible.""]"
"US-027","Advanced Electronics Features","Calculate Ohm's Law and Power values","Electronics Practitioner","As an electronics practitioner, I want to enter any two known values for Voltage, Current, Resistance, or Power, so that the calculator automatically computes the remaining two values.","Provides a core, high-utility feature for the target electronics audience, simplifying a common and critical calculation.","Must Have","3","[""US-014""]","[{""scenario"":""Calculate Resistance and Power from Voltage and Current"",""given"":""The user is in the Ohm's Law & Power mode"",""when"":""The user enters a valid Voltage (e.g., '12V') and a valid Current (e.g., '500mA')"",""then"":""The Resistance field is automatically calculated as '24Ω' AND the Power field is automatically calculated as '6W'.""},{""scenario"":""Calculate Current and Power from Voltage and Resistance"",""given"":""The user is in the Ohm's Law & Power mode"",""when"":""The user enters a valid Voltage (e.g., '5V') and a valid Resistance (e.g., '1kΩ')"",""then"":""The Current field is automatically calculated as '5mA' AND the Power field is automatically calculated as '25mW'.""}]","[""WI-063: Develop Electronics Modes UI (Ohm's Law)""]","[""All 6 calculation combinations work correctly."",""UI provides guidance when fewer than two inputs are provided."",""Input validation prevents negative Resistance/Power."",""Component is fully accessible and responsive.""]"
"US-037","Advanced Electronics Features","Design a 555 timer in Astable mode","Electronics Designer","As an electronics designer, I want to calculate the required resistor and capacitor values for a 555 timer in astable mode by providing my target frequency, duty cycle, and one known component value.","Attracts and retains users from the target electronics demographic by saving them time and reducing manual calculation errors for a very common circuit.","Should Have","5","[""US-014""]","[{""scenario"":""Calculate components with a known Capacitor value"",""given"":""The user is in the '555 Timer Astable Mode' view"",""when"":""The user enters Frequency '1kHz', Duty Cycle '75%', selects 'C' and enters '10nF'"",""then"":""The system calculates and displays RA as '~72.15 kΩ' and RB as '~36.07 kΩ'.""},{""scenario"":""User enters an invalid duty cycle (less than or equal to 50%)"",""given"":""The user is in the '555 Timer Astable Mode' view"",""when"":""The user enters a Duty Cycle of '50%' or less"",""then"":""An informative error message 'Duty cycle must be greater than 50%...' is displayed and outputs are cleared.""}]","[""WI-063: Develop Electronics Modes UI (555 Timer)"",""WI-027: Implement Backend Validation and Business Rules (for 555 timer duty cycle)""]","[""Calculations for all three 'known component' scenarios are correct."",""Duty cycle validation (50% < D < 100%) is enforced on client and backend."",""Component is fully accessible and responsive.""]"
"US-041","User-Extensible Functionality","Create a new custom calculation mode via a wizard","Registered User","As a registered user, I want a guided wizard to create a new custom calculation mode, starting with its name and description, so that I can build personalized tools.","Enables the core user-extensible functionality of the application, increasing user engagement and retention by allowing users to create personalized tools.","Should Have","8","[""US-053"",""US-046""]","[{""scenario"":""Initiate wizard and complete the first step"",""given"":""I am a logged-in user"",""when"":""I navigate to 'Custom Mode Management', click 'Create New Mode', enter a unique name and description, and click 'Next'"",""then"":""I am taken to the next step of the wizard ('Define Variables').""},{""scenario"":""Attempt to create a mode with a non-unique name"",""given"":""I am a logged-in user and a mode named 'Ohm's Law Solver' already exists"",""when"":""I start creating a new mode and enter 'Ohm's Law Solver' into the 'Name' field"",""then"":""I see an inline error message 'A mode with this name already exists.'""}]","[""WI-033: Implement API Endpoints for Custom Modes (POST)"",""WI-064: Develop Custom Mode Creation Wizard""]","[""User can launch and progress through the wizard."",""Wizard state is managed correctly across steps."",""A new custom mode can be successfully created and persisted."",""Wizard is fully accessible and responsive.""]"
"US-047","User-Extensible Functionality","Launch and use a custom calculation mode","Registered User","As a registered user who has created a custom calculation mode, I want to launch that mode, enter my specific input values, and see the results calculated automatically.","Actualizes the core value of the user-extensible framework, transforming it from a creation tool into a functional, personalized calculator, driving user engagement.","Should Have","8","[""US-041""]","[{""scenario"":""Perform a successful calculation"",""given"":""I am viewing a launched custom mode with all required input fields"",""when"":""I enter valid numerical values into all required input fields and trigger the calculation"",""then"":""A secure API call is made to the backend formula execution service, and the output fields are populated with the correct results.""},{""scenario"":""Handle calculation errors from the backend"",""given"":""I am viewing a custom mode with a formula that can result in a mathematical error (e.g., division by zero)"",""when"":""I enter a value that will cause an error and trigger the calculation"",""then"":""The API returns a structured error, a user-friendly error message is displayed, and my original input values are preserved.""}]","[""WI-040: Create Terraform Module for Secure Lambda Function"",""WI-041: Implement Lambda Handler with `isolated-vm`"",""WI-042: Implement Function and Constant Allow-List"",""WI-065: Develop Custom Mode Management and Execution UI""]","[""User can launch a custom mode from the management screen."",""UI is dynamically rendered based on the mode's definition."",""Calculations are performed securely via the AWS Lambda sandbox."",""Performance for formula execution meets P95 < 500ms NFR.""]"
