"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"B-TSK-001","Scaffold NestJS Project and Configure Base Settings","Use the NestJS CLI (`@nestjs/cli`) to generate a new monorepo project. Configure `tsconfig.json` for strict type checking and `nest-cli.json` for standard source root. Initialize the Git repository.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","4.2","2","backend,setup,nestjs","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","Application Framework & Foundational Setup (Backend)","EPIC-001","Scientific Calculator with Electronics Features","WI-006","","NestJS,TypeScript,npm","Low","Low","The project is successfully created using `nest new`. The application compiles and starts without errors.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Successful execution of `npm run build` and `npm run start:dev` commands.","Initial commit to the new repository.","Establishes the initial codebase and project structure for all backend development."
"B-TSK-002","Configure TypeORM and Database Connection Module","Install `typeorm`, `pg`, `@nestjs/typeorm`. Create a configuration service using `@nestjs/config` to load database credentials from environment variables. Configure `TypeOrmModule.forRootAsync`.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","4.2","2","backend,database,typeorm","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","Application Framework & Foundational Setup (Backend)","EPIC-001","Scientific Calculator with Electronics Features","WI-007","B-TSK-001","NestJS,TypeORM,PostgreSQL","Low","Low","The NestJS application successfully connects to a local PostgreSQL database on startup. Database credentials are loaded from environment variables.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","Local PostgreSQL instance must be running.","Application startup logs show a successful database connection.","","Enables data persistence for all application features, connecting the application logic to the database."
"B-TSK-003","Set up TypeORM Migration Configuration","Create a `ormconfig.ts` or equivalent data source configuration file for the TypeORM CLI. Add npm scripts for creating and running migrations.","Task","Sprint Backlog","High","backend.dev1@company.com","product.owner@company.com","2024-11-08","2.7","1","backend,database,typeorm","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","Application Framework & Foundational Setup (Backend)","EPIC-001","Scientific Calculator with Electronics Features","WI-007","B-TSK-002","TypeORM","Low","Low","The `typeorm migration:generate` and `typeorm migration:run` commands can be run successfully. An initial empty migration can be created and applied.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Successful execution of migration commands from the command line.","","Enables version-controlled database schema management."
"B-TSK-004","Integrate and Configure `nestjs-pino`","Install and configure `nestjs-pino` to produce structured JSON logs in production and pretty-printed logs in development.","Task","Sprint Backlog","High","backend.dev2@company.com","product.owner@company.com","2024-11-08","3","2","backend,logging,pino","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","Application Framework & Foundational Setup (Backend)","EPIC-001","Scientific Calculator with Electronics Features","WI-008","B-TSK-001","NestJS,Pino","Low","Low","Logs are pretty-printed in dev and JSON formatted in prod. Each log object contains standard fields like level, time, and msg.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Inspect console output in both development and production modes.","","Enables effective, searchable, and analyzable logging in production environments."
"B-TSK-005","Implement Middleware for Correlation ID Logging","Create a NestJS middleware to inject a correlation ID into the Pino logger context for each request.","Task","Sprint Backlog","High","backend.dev2@company.com","product.owner@company.com","2024-11-08","4","2","backend,logging,middleware","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","Application Framework & Foundational Setup (Backend)","EPIC-001","Scientific Calculator with Electronics Features","WI-008","B-TSK-004","NestJS,Pino","Low","Low","All logs generated during a single API request contain the same `correlationId` field. Middleware uses incoming header or generates a new ID.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Inspect logs to verify all entries for a single request share a `correlationId`.","","Enables end-to-end request tracing across distributed services."
"B-TSK-006","Set up Passport.js with JWT Strategy","Implement a `JwtStrategy` using `passport-jwt` and `jwks-rsa` to validate Cognito JWT signatures against the JWKS endpoint.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","6.2","3","backend,security,auth,jwt","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","User Authentication & Account Management (Backend)","EPIC-003","Scientific Calculator with Electronics Features","WI-017","B-TSK-001","NestJS,Passport.js,JWT,AWS Cognito","Medium","Medium","The JwtStrategy is defined and correctly configured. It successfully validates a valid JWT and rejects invalid ones.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","AWS Cognito User Pool must be configured.","Unit tests for the JwtStrategy.","","Secures all protected API endpoints by validating user identity."
"B-TSK-007","Implement Global JWT Auth Guard","Create a `JwtAuthGuard` and apply it globally. Create a `@Public()` decorator to exempt specific routes from authentication.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","4","2","backend,security,auth","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","User Authentication & Account Management (Backend)","EPIC-003","Scientific Calculator with Electronics Features","WI-017","B-TSK-006","NestJS","Low","Low","A `JwtAuthGuard` is applied globally. A `@Public()` decorator allows unauthenticated access. All other endpoints return 401 Unauthorized without a valid JWT.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Integration tests using Supertest to hit protected and public endpoints.","","Establishes the default security posture for the entire API."
"B-TSK-008","Create TypeORM Entities for All User Data Models","Create entity files for `users`, `custom_modes`, `user_variables`, and `calculation_history` with all columns, relationships, and constraints.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","5.2","3","backend,database,schema","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","User Authentication & Account Management (Backend)","EPIC-003","Scientific Calculator with Electronics Features","WI-018","B-TSK-002","TypeORM,TypeScript","Low","Low","Four entity files are created with all specified columns and decorators. Relationships are correctly defined. The `definition` column in `CustomMode` is `jsonb`.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Code review and successful migration generation.","","Defines the application's data model in code."
"B-TSK-009","Generate and Refine Initial Database Migration Script","Use the TypeORM CLI to generate an initial migration script from entities. Manually review and refine the generated SQL.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","3","2","backend,database,migration","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","User Authentication & Account Management (Backend)","EPIC-003","Scientific Calculator with Electronics Features","WI-018","B-TSK-008,B-TSK-003","TypeORM,SQL","Low","Low","A new, versioned migration file is created. The migration script successfully runs and creates the correct schema. The script's `down` method successfully drops all tables.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Running `npm run migration:run` and inspecting the database schema.","","Creates the physical database structure required to store application data."
"B-TSK-010","Create User record upon Cognito registration","Implement a mechanism to create a user record in the local `users` table after a new user successfully registers with Cognito, likely via an on-demand check in the auth guard.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","2.7","2","backend,auth,user-management","Sprint 1","Establish Foundational Framework, Core Auth & Secure Sandbox POC","User Authentication & Account Management (Backend)","EPIC-003","Scientific Calculator with Electronics Features","WI-018","B-TSK-009,B-TSK-007","NestJS,TypeORM","Low","Low","When a new user logs in for the first time, a new record is created in the `users` table with the correct `auth_provider_id` and email.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Integration test: Authenticate as a new user and verify a record is created in the `users` table.","","Links the identity provider's user with the application's internal user data model."
