"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"T001","FE-Design: Finalize responsive breakpoints and component structure for MainLayout","Analyze REQ-1-005 and REQ-1-034 to define the specific CSS breakpoints (375px, 768px, 1280px+). Design the component hierarchy for the MainLayout, including AppBar, Drawer, and content area, planning for mobile-first implementation.","Task","Sprint Backlog","Critical","fe.dev.1@company.com","product.owner@company.com","2025-01-10","4.2","5","frontend,design,responsive","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-061","","React,Material-UI,Responsive Design","Low","Low","A design document or component plan is created outlining the structure. Breakpoints are defined and documented in the project's theme file.","Design document peer-reviewed and approved.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","","","Peer review","","Increases user reach, satisfaction, and retention by providing a consistent, high-quality experience on any device."
"T002","FE-Impl: Develop MainLayout component with responsive structure","Implement the MainLayout.tsx component using Material-UI's Grid, AppBar, and Drawer. Implement the basic structure that adapts between mobile (temporary drawer) and desktop (permanent drawer) layouts.","Task","Sprint Backlog","Critical","fe.dev.1@company.com","product.owner@company.com","2025-01-17","8.3","5","frontend,react,material-ui","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-061","T001","React,TypeScript,Material-UI,Styled-components","Medium","Low","The component renders without errors. The layout visually shifts between mobile and desktop views when the viewport is resized.","Component implemented, unit tests passing, code reviewed.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","","","Unit tests, Storybook verification","","Increases user reach, satisfaction, and retention by providing a consistent, high-quality experience on any device."
"T005","FE-Analysis: Select and configure math expression parsing library","Evaluate `math.js` or similar libraries against all requirements from REQ-1-001, including support for all scientific functions, custom functions, and robust error handling.","Task","Sprint Backlog","Critical","fe.dev.2@company.com","product.owner@company.com","2025-01-08","6.2","8","frontend,analysis,architecture","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-001","","TypeScript,Library Evaluation","Medium","Low","A library is selected and the choice is documented with justifications. A proof-of-concept demonstrates key calculations.","Decision document reviewed and approved.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","Tech Lead","","Proof-of-concept","","Establishes the core, non-negotiable functionality of the calculator."
"T006","FE-Impl: Create `calculationEngine` service","Develop a TypeScript service that wraps the chosen math library. This service will expose a single `evaluate` method that takes the expression string and current angle mode, normalizes output, and handles errors.","Task","Sprint Backlog","Critical","fe.dev.2@company.com","product.owner@company.com","2025-01-15","8.3","8","frontend,typescript,core-logic","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-001","T005","TypeScript","Medium","Medium","The service correctly evaluates basic arithmetic and scientific functions. The service correctly applies angle mode conversions for all trig functions.","Service implemented with comprehensive unit tests passing.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","","","Unit testing","","Establishes the core, non-negotiable functionality of the calculator."
"T014","Infra-Config: Provision and configure AWS Cognito User Pool","Write Terraform code to provision the AWS Cognito User Pool and App Client as per REQ-1-029. Configure the password policy (REQ-1-071) and callback URLs.","Task","Sprint Backlog","Critical","devops.eng@company.com","product.owner@company.com","2025-01-10","10.3","5","devops,terraform,aws,cognito","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","","Terraform,AWS Cognito","Medium","Medium","`terraform apply` successfully creates the Cognito resources. The password policy in the AWS console matches the requirements.","Terraform code merged, resources provisioned in dev environment.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","Backend Team","","Manual verification in AWS console","Critical for all authentication features.","Enables user-specific data persistence, a primary driver for user retention."
"T022","BE-Impl: Implement JWT authentication guard and strategy","In NestJS, implement a Passport.js JWT strategy and a `JwtAuthGuard` to validate JWTs issued by AWS Cognito by fetching the public keys (JWKS) from Cognito's endpoint.","Task","Sprint Backlog","Critical","be.dev.1@company.com","product.owner@company.com","2025-01-15","12.3","5","backend,nestjs,security,jwt","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-053","T014","NestJS,Passport.js,JWT,Security","Medium","High","An API request to a protected endpoint without a token is rejected with 401. An API request with a valid Cognito-issued JWT is allowed.","Integration tests for the guard pass. Code reviewed by security lead.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","DevOps","AWS Cognito JWKS endpoint","Integration testing","Security-critical component.","Serves as the gateway to all personalized features."
"T089","BE-Impl: Create data endpoints for history and variables","Implement the NestJS modules, controllers, services, and TypeORM entities for `CalculationHistory` and `UserVariable`. Endpoints must be protected by the JWT guard and scoped to the user.","Task","Sprint Backlog","High","be.dev.2@company.com","product.owner@company.com","2025-01-17","16.7","5","backend,nestjs,database","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-053","T022","NestJS,TypeORM,PostgreSQL,REST API Design","Medium","Medium","API integration tests pass for all CRUD operations on variables and GET/POST on history. An attempt to access another user's data results in a 403/404 error.","Endpoints implemented, documented, and fully tested.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","","","Integration testing, Security testing","","Enables persistence of user data, a core feature."
"T037","BE-Impl: Create CRUD endpoints for Custom Modes","Implement the `CustomModes` module in NestJS, including the entity (with JSONB definition), controller, and service. Create authenticated endpoints for full CRUD functionality.","Task","Sprint Backlog","High","be.dev.1@company.com","product.owner@company.com","2025-01-17","16.7","8","backend,nestjs,database,jsonb","Sprint 1","Deliver a functional, responsive core scientific calculator and all backend infrastructure for auth, user data, and custom modes.","User-Extensible Functionality (Custom Modes)","EPIC-004","Calculator SPA","US-041","T022","NestJS,TypeORM,PostgreSQL (JSONB)","Medium","Medium","A user can create, read, update, and delete their own custom modes via the API. An attempt to access another user's mode fails with a 403/404 error.","Endpoints implemented, documented, and fully tested.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","100%","","","Integration testing, Security testing","","Enables the core user-extensible functionality of the application."
"T015","FE-Impl: Develop Registration UI component","Create the `Register.tsx` React component with Material-UI form fields for email, password, and confirm password. Implement client-side validation for email format, password match, and required fields.","Task","Sprint Backlog","Critical","fe.dev.1@company.com","product.owner@company.com","2025-01-24","8.2","5","frontend,react,ui","Sprint 2","Implement the complete user authentication lifecycle (Register/Login) and enable basic offline functionality for the core calculator.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","T002","React,TypeScript,Material-UI","Low","Low","The registration form renders correctly with all specified fields. Client-side validation provides real-time feedback for invalid inputs.","Component implemented and unit tested.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-20","2025-01-31","100%","","","Unit tests","","Enables user-specific data persistence, a primary driver for user retention."
"T016","FE-Impl: Integrate Registration UI with AWS Cognito service","Wire the `Register.tsx` component to the authentication service. On form submission, call the Cognito `signUp` function. Handle success by automatically logging the user in and redirecting. Handle errors by displaying messages from the API.","Task","Sprint Backlog","Critical","fe.dev.1@company.com","product.owner@company.com","2025-01-31","10.7","5","frontend,aws,cognito,integration","Sprint 2","Implement the complete user authentication lifecycle (Register/Login) and enable basic offline functionality for the core calculator.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","T015,T014","React,AWS Amplify,Redux Toolkit","Medium","Medium","Submitting a valid form creates a user in the Cognito User Pool. The application correctly displays an error message if the email is already in use.","Integration works and is covered by E2E tests.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-20","2025-01-31","100%","","AWS Cognito","E2E testing","","Enables user-specific data persistence, a primary driver for user retention."
